56.870656 222.125362 4.294281 0.097907  0.821201  5.752196  0.131154
63.906992 246.880186 3.001988 0.076826  0.843291  3.915833  0.10021
71.306964 271.909104 2.297897 0.064389  0.864834  2.922742  0.08189
79.245174 297.496076 1.722093 0.053753  0.882518  2.146474  0.06699








!56.870656 222.125362 4.294281 0.097907  0.821201  5.752196  0.131154
!63.906992 246.880186 3.001988 0.076826  0.843291  3.915833  0.10021
!71.306964 271.909104 2.297897 0.064389  0.864834  2.922742  0.08189
!79.245174 297.496076 1.722093 0.053753  0.882518  2.146474  0.06699





!56.870656 222.125362 3.970575 0.092521  0.821201  5.318591  0.12393
!63.906992 246.880186 3.001988 0.076826  0.843291  3.915833  0.10021
!71.306964 271.909104 2.297897 0.064389  0.864834  2.922742  0.08189
!79.245174 297.496076 1.722093 0.053753  0.882518  2.146474  0.06699
!tetaCM-momentumtransfer-Crossection-statisticalErr-hadronic interaction corection- crosssectioAfter correction-error

!cross 43.511475 172.902382 5.397463 0.117709
!cross 50.094601 197.494072 5.147510 0.111237
!cross 56.870656 222.125362 3.970575 0.092521
!cross 63.906992 246.880186 3.001988 0.076826
!cross 71.306964 271.909104 2.297897 0.064389
!cross 79.245174 297.496076 1.722093 0.053753
